RFM_Score,Segment
443,Champions
434,Champions
344,Champions
444,Champions
433,Loyal_Customers
343,Loyal_Customers
334,Loyal_Customers
333,Loyal_Customers
442,Potential_Customers
424,Potential_Customers
423,Potential_Customers
342,Potential_Customers
324,Potential_Customers
432,Potential_Big_Spenders
422,Potential_Big_Spenders
234,Potential_Big_Spenders
233,Potential_Big_Spenders
232,Potential_Big_Spenders
244,Potential_Big_Spenders
243,Potential_Big_Spenders
144,Newcomers
134,Newcomers
414,Newcomers
413,Newcomers
314,Newcomers
313,Newcomers
114,Newcomers
214,Newcomers
441,At_Risk_Customers
341,At_Risk_Customers
241,At_Risk_Customers
322,Win_Back_Targets
323,Win_Back_Targets
224,Win_Back_Targets
223,Win_Back_Targets
222,Win_Back_Targets
312,Win_Back_Targets
212,Win_Back_Targets
142,Win_Back_Targets
412,Win_Back_Targets
213,Win_Back_Targets
332,Fading_Customers
242,Fading_Customers
431,Fading_Customers
421,Fading_Customers
331,Fading_Customers
231,Fading_Customers
411,Lost Customers
321,Lost Customers
311,Lost Customers
221,Lost Customers
211,Lost Customers
141,Lost Customers
131,Lost Customers
124,Lost Customers
123,Lost Customers
122,Lost Customers
121,Lost Customers
111,Lost Customers
112,Lost Customers
113,Lost Customers
133,Lost Customers
143,Lost Customers
132,Lost Customers
